set_num,lego_info,value
10572-1,theme_id,504
10573-1,theme_id,504
10573-1,num_parts,25
10574-1,num_parts,23
10574-1,theme_id,504
10575-1,num_parts,75
10575-1,theme_id,504
10576-1,num_parts,9
10576-1,theme_id,504
10577-1,num_parts,135
10577-1,theme_id,504
10579-1,num_parts,16
10579-1,theme_id,504
10580-1,num_parts,95
10580-1,theme_id,504
10581-1,theme_id,504
10581-1,num_parts,13
10582-1,theme_id,504
10582-1,num_parts,39
10583-1,theme_id,504
10583-1,num_parts,30
10584-1,theme_id,504
10584-1,num_parts,102
10585-1,num_parts,13
10585-1,theme_id,504
10586-1,theme_id,504
10586-1,num_parts,11
10587-1,num_parts,51
10587-1,theme_id,504
10589-1,theme_id,504
10589-1,num_parts,13
10590-1,num_parts,29
10590-1,theme_id,504
10591-1,theme_id,504
10591-1,num_parts,19
10592-1,num_parts,26
10592-1,theme_id,504
10593-1,num_parts,104
10593-1,theme_id,504
10594-1,num_parts,38
10594-1,theme_id,504
10595-1,theme_id,504
10595-1,num_parts,87
10596-1,num_parts,63
10596-1,theme_id,504
10597-1,num_parts,24
10597-1,theme_id,504
10599-1,theme_id,504
10599-1,num_parts,46
106-1,theme_id,79
106-1,num_parts,59
1060-1,theme_id,533
1060-1,num_parts,30
10600-1,num_parts,29
10600-1,theme_id,506
10601-1,theme_id,504
10601-1,num_parts,19
10602-1,theme_id,504
10602-1,num_parts,37
10603-1,num_parts,17
10603-1,theme_id,504
10604-1,num_parts,25
10604-1,theme_id,504
10605-1,theme_id,504
10605-1,num_parts,16
10606-1,theme_id,504
10606-1,num_parts,39
10607-1,num_parts,13
10607-1,theme_id,504
10608-1,theme_id,504
10608-1,num_parts,28
1061-1,num_parts,1
1061-1,theme_id,20
10615-1,theme_id,504
10615-1,num_parts,12
10616-1,num_parts,25
10616-1,theme_id,504
10617-1,num_parts,26
10617-1,theme_id,504
10618-1,theme_id,504
10618-1,num_parts,69
1062-1,theme_id,533
1062-1,num_parts,158
10622-1,num_parts,193
10622-1,theme_id,504
10623-1,num_parts,0
10623-1,theme_id,505
1063-1,num_parts,169
1063-1,theme_id,533
1064-1,num_parts,0
1064-1,theme_id,533
1065-1,num_parts,196
1065-1,theme_id,534
10654-1,num_parts,1599
10654-1,theme_id,365
10655-1,theme_id,37
10655-1,num_parts,197
10656-1,theme_id,22
10656-1,num_parts,88
10657-1,theme_id,37
10657-1,num_parts,148
10659-1,theme_id,37
10659-1,num_parts,152
1066-1,theme_id,533
1066-1,num_parts,174
10660-1,theme_id,37
10660-1,num_parts,157
10661-1,theme_id,22
10661-1,num_parts,90
10662-1,theme_id,37
10662-1,num_parts,607
10663-1,num_parts,607
10663-1,theme_id,22
10664-1,theme_id,22
10664-1,num_parts,1599
10665-1,theme_id,591
10665-1,num_parts,55
10666-1,num_parts,75
10666-1,theme_id,591
10667-1,num_parts,159
10667-1,theme_id,591
10668-1,num_parts,149
10668-1,theme_id,591
10669-1,num_parts,107
10669-1,theme_id,591
1067-1,theme_id,507
1067-1,num_parts,251
10671-1,theme_id,591
10671-1,num_parts,123
10672-1,num_parts,150
10672-1,theme_id,591
10673-1,theme_id,591
10673-1,num_parts,349
10674-1,theme_id,591
10674-1,num_parts,305
10675-1,num_parts,146
10675-1,theme_id,591
10676-1,num_parts,479
10676-1,theme_id,591
10677-1,num_parts,74
10677-1,theme_id,591
10679-1,theme_id,591
10679-1,num_parts,57
1068-1,num_parts,20
1068-1,theme_id,87
10680-1,theme_id,591
10680-1,num_parts,99
10681-1,num_parts,599
10681-1,theme_id,37
10682-1,theme_id,37
10682-1,num_parts,1016
10683-1,theme_id,591
10683-1,num_parts,132
10684-1,num_parts,132
10684-1,theme_id,591
10685-1,theme_id,591
10685-1,num_parts,113
10686-1,num_parts,226
10686-1,theme_id,591
10687-1,theme_id,591
10687-1,num_parts,137
1069-1,theme_id,77
1069-1,num_parts,22
10692-1,theme_id,366
10692-1,num_parts,220
10693-1,theme_id,366
10693-1,num_parts,302
10693-1-s1,theme_id,365
10693-1-s1,num_parts,12
10694-1,num_parts,302
10694-1,theme_id,366
10695-1,num_parts,579
10695-1,theme_id,366
10696-1,theme_id,366
10696-1,num_parts,483
10697-1,theme_id,365
10697-1,num_parts,1499
10698-1,theme_id,366
10698-1,num_parts,789
10699-1,theme_id,365
10699-1,num_parts,1
107-1,theme_id,473
107-1,num_parts,31
107-2,theme_id,81
107-2,num_parts,138
1070-1,theme_id,87
1070-1,num_parts,20
10700-1,theme_id,365
10700-1,num_parts,1
10701-1,num_parts,1
10701-1,theme_id,365
10702-1,theme_id,365
10702-1,num_parts,582
10703-1,theme_id,365
10703-1,num_parts,499
10704-1,num_parts,900
10704-1,theme_id,365
10705-1,num_parts,999
10705-1,theme_id,366
10706-1,theme_id,365
10706-1,num_parts,78
10707-1,theme_id,365
10707-1,num_parts,55
10708-1,theme_id,365
10708-1,num_parts,66
10709-1,theme_id,365
10709-1,num_parts,60
10720-1,theme_id,591
10720-1,num_parts,63
10721-1,theme_id,591
10721-1,num_parts,66
10722-1,theme_id,591
10722-1,num_parts,92
10723-1,theme_id,591
10723-1,num_parts,70
10724-1,num_parts,164
10724-1,theme_id,482
10725-1,theme_id,591
10725-1,num_parts,171
10726-1,theme_id,496
10726-1,num_parts,58
10727-1,theme_id,494
10727-1,num_parts,136
10728-1,theme_id,494
10728-1,num_parts,182
10729-1,theme_id,591
10729-1,num_parts,116
10734-1,num_parts,162
10734-1,theme_id,591
10735-1,num_parts,90
10735-1,theme_id,591
10736-1,num_parts,94
10736-1,theme_id,591
10737-1,num_parts,63
10737-1,theme_id,591
10740-1,num_parts,108
10740-1,theme_id,591
10746-1,num_parts,104
10746-1,theme_id,591
10747-1,num_parts,141
10747-1,theme_id,591
